geo,target,feature,kind,pearson_r,p_pearson,spearman_r,p_spearman,n
MK,rail_investment_per_network_km,urban_population_pct,delta,-0.14404954968761965,0.7223503975830062,0.09279236622456229,0.8196853398610404,9
RS,rail_investment_per_network_km,passenger_modal_split_rail_pct,delta,0.1438916600270965,0.7014512779929786,0.12560125525331095,0.738323805936572,10
HR,rail_investment_per_network_km,compensation_employees_meur,delta,0.14379716809260107,0.46030665717327124,0.18745284416759442,0.3334124324374068,29
SE,rail_investment_per_network_km,pop_growth_rate,delta,-0.14362185708246297,0.46086136946433476,0.15210511177501612,0.4344187195253681,29
CZ,rail_investment_per_network_km,population_total,delta,0.14344889233470381,0.46140899586228756,0.0017248380551141173,0.9929827024388183,29
CZ,rail_investment_per_network_km,gni_per_capita_usd,delta,0.14317920241158205,0.4622635347749885,-0.13872049356764996,0.4765088579157075,29
RS,rail_investment_per_network_km,infant_mortality_rate,delta,-0.14268862666951662,0.6844800636196692,-0.10635498954758826,0.7626830757701711,11
CZ,rail_investment_per_network_km,gov_expenditure_pct_gdp,delta,-0.1423864446174411,0.46478018094546286,0.16796039945901314,0.3872440933189822,29
RS,rail_investment_per_network_km,population_density,delta,0.14215258440237033,0.7049367334471648,0.12014241045878982,0.7494158499916774,10
EL,rail_investment_per_network_km,rail_vehicle_km,delta,0.14142493119045155,0.7272720383542806,0.19459826058462468,0.6292208205832459,9
SE,rail_investment_per_network_km,gva_total_meur,delta,-0.1407664405868843,0.46994476555638476,-0.3277597263652805,0.08269133797484504,29
EE,rail_investment_per_network_km,gva_total_meur,delta,-0.14059630036453089,0.5835832521805644,-0.1534204408819964,0.549223699894666,18
DE,rail_investment_per_network_km,freight_modal_split_rail_pct,delta,-0.14004324238714427,0.6900977050136214,-0.374623626711279,0.265361326863472,11
EE,rail_investment_per_network_km,death_rate,delta,-0.13995064831602747,0.5853358014225758,-0.01459369200752562,0.9549234693810519,18
BE,rail_investment_per_network_km,pop_growth_rate,delta,-0.13975340376054024,0.5506212299708182,0.042444939868761834,0.8570058522204062,21
BE,rail_investment_per_network_km,rail_vehicle_km,delta,-0.13962567954078065,0.7100090584277834,-0.0394407664879292,0.9168482576880678,10
TR,rail_investment_per_network_km,material_deprivation_pct,delta,-0.13931169797621548,0.6916534661988625,-0.08678191472098878,0.8056239381049539,11
BE,rail_investment_per_network_km,net_migration_rate,delta,-0.13911962853310533,0.5524537317606251,0.030712143794824932,0.8962961828881958,21
SE,rail_investment_per_network_km,gdp_current_meur,delta,-0.1387367325639374,0.4764565758025715,-0.3273331664481736,0.08312359313068353,29
HR,rail_investment_per_network_km,gdp_per_capita_eur,delta,0.1385849199479983,0.47694545597786353,0.2222761648598862,0.2490623541455668,29
TR,rail_investment_per_network_km,gdp_growth_pct,delta,0.13834383701233705,0.5547004768853722,0.11522313999967045,0.623404404241914,21
HR,rail_investment_per_network_km,health_spend_pct_gdp,delta,0.13775809269790504,0.5352478877051856,-0.1479593949934329,0.5050356138400871,23
UK,rail_investment_per_network_km,net_earnings_eur,delta,0.13718070460734347,0.7149256998088356,0.2107999457230625,0.5712490898209519,10
FI,rail_investment_per_network_km,rail_gross_tonne_km,delta,0.13622255257373994,0.4845855218980065,0.32033746564635546,0.09045692155250787,29
SI,rail_investment_per_network_km,gdp_per_capita_usd,delta,-0.13608265430663236,0.48503987506723006,-0.2206440768974318,0.2526739964823158,29
HR,rail_investment_per_network_km,gdp_current_meur,delta,0.1359616744661554,0.4854329578506682,0.2309341653313908,0.2304629440934804,29
SI,rail_investment_per_network_km,gdp_current_usd,delta,-0.1352978661774727,0.48759260772317586,-0.21325555375165609,0.26944423618696794,29
CZ,rail_investment_per_network_km,birth_rate,delta,-0.1349599793439351,0.4886937331088662,-0.1995800115075934,0.30230327529401113,29
LT,rail_investment_per_network_km,fdi_pct_gdp,delta,0.13486732751502173,0.5062024065418135,-0.2973078563958883,0.13313588765947984,27
LV,rail_investment_per_network_km,death_rate,delta,0.13477524570618662,0.4892962767616743,-0.000642072676369323,0.9973877772462164,29
BG,rail_investment_per_network_km,urban_population_pct,delta,-0.13476341374557327,0.6680923115892001,-0.13247777537612238,0.6734568537245578,13
ES,rail_investment_per_network_km,population_density,delta,-0.13467430405291972,0.5158064912944044,0.5188057454740321,0.005847992480525232,26
BG,rail_investment_per_network_km,gva_total_meur,delta,0.1345759692611403,0.6685317487916791,0.08687707865037939,0.7829906786884911,13
HR,rail_investment_per_network_km,rail_accidents,delta,-0.13456945023070213,0.6000240639356154,-0.1081996461449562,0.6739724608018007,18
HU,rail_investment_per_network_km,material_deprivation_pct,delta,-0.1344836581713874,0.6392809013813681,-0.36841853752409315,0.18050749610433142,15
EL,rail_investment_per_network_km,gov_revenue_pct_gdp,delta,0.1344752154331541,0.740340070471449,-0.07190964298897816,0.8599431852537334,9
HR,rail_investment_per_network_km,electricity_access_pct,delta,-0.1334782315271801,0.5019672830312455,-0.240245931761535,0.22050911797436518,28
EE,rail_investment_per_network_km,ppp_factor,delta,0.13283139501170688,0.6047988454749967,0.16647567220618525,0.5151660089958482,18
DE,rail_investment_per_network_km,education_spend_pct_gdp,delta,-0.13268429057588735,0.7437159247071261,-0.043484239883521306,0.9151210664474992,9
LT,rail_investment_per_network_km,rail_locomotives,delta,-0.13236927333061127,0.5142062937021664,0.10423953784142469,0.6082807403080934,27
HU,rail_investment_per_network_km,gva_total_meur,delta,0.1319807589428878,0.49845588670786906,0.33093804153912637,0.0795235166039117,29
AT,rail_investment_per_network_km,gini_coefficient,delta,-0.13193675384937964,0.6747286269980532,0.002014228698764093,0.9949178615551997,13
SK,rail_investment_per_network_km,gini_coefficient,delta,0.1318962910766518,0.6073738573236724,-0.015324592338525234,0.9526681298819938,18
TR,rail_investment_per_network_km,rail_seat_km,delta,0.1315837916784981,0.6755587328372277,-0.1234199958738417,0.6948452111615553,13
PT,rail_investment_per_network_km,co2_per_capita,delta,0.1313148905559584,0.6339230103778073,0.09341490699589965,0.7355160863201939,16
SE,rail_investment_per_network_km,gdp_per_capita_eur,delta,-0.13122723366458247,0.5009400738225418,-0.33017467330371225,0.08027588991661953,29
SE,rail_investment_per_network_km,rail_freight_tonnes,delta,-0.131181867568154,0.5454213966752919,-0.31013740103752535,0.14166463870069257,24
LT,rail_investment_per_network_km,ppp_factor,delta,0.13098358308970953,0.5186719753503621,-0.033155057832400164,0.8709235431526756,27
FR,rail_investment_per_network_km,gdp_growth_pct,delta,0.13086140577509903,0.5765712101010121,0.14201753089309588,0.5440965572489167,21
PL,rail_investment_per_network_km,fertility_rate,delta,0.13063406771353656,0.5668523211117522,0.09965387446755124,0.6629617240459065,22
TR,rail_investment_per_network_km,rail_employees,delta,-0.12993682137767928,0.6248818598097059,-0.1877322782106615,0.47717044556669463,17
CZ,rail_investment_per_network_km,gva_total_meur,delta,0.12978663011822628,0.5057061927025955,-0.1658286523460313,0.39341271880301093,29
LV,rail_investment_per_network_km,rail_passenger_km,delta,-0.12943963930182711,0.5068574675757153,-0.18236975485872817,0.3469986541994673,29
LT,rail_investment_per_network_km,electricity_access_pct,delta,-0.12930140206276425,0.5241177344768354,0.10503035706221019,0.6055427906800217,27
LT,rail_investment_per_network_km,homicide_rate,delta,0.1292548887452943,0.5420806683438013,-0.03378787464455264,0.8740316750663812,25
LT,rail_investment_per_network_km,net_migration_rate,delta,0.12872590120539906,0.5259869636323301,0.10544554884611251,0.6041073562615279,27
