country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
TR,2010,26,369.0,245.04807691553103,107.34615384615384,160.05197713435277,0.6640869293103822,1.490989396450438
TR,2023,26,439.11538461538464,325.1007630779204,248.23076923076923,309.3682993058348,0.7403538442695918,1.2462931177489471
CZ,2002,8,1200.0,522.7001325534828,,,0.43558344379456904,
EL,2009,13,196.30769230769232,190.05586223326753,20.384615384615383,53.53742999300966,0.9681529032258925,2.6263644902231156
HU,2012,6,1067.3333333333333,176.92107468209284,401.3333333333333,110.94983851573046,0.16575990757222941,0.27645308600265067
NO,2010,3,711.0,239.19239118333175,229.66666666666666,220.52966542697456,0.3364168652367535,0.960216250044882
NO,2021,6,646.8333333333334,218.11686470024887,409.3333333333333,303.9918858566239,0.3372072115953345,0.7426511869461497
PL,2001,15,1283.4666666666667,445.7710601813874,696.9333333333333,434.5671847887714,0.34731798788285945,0.6235419716693679
SK,2023,4,907.75,450.93707986813416,396.25,188.2026832964929,0.49676351403815383,0.47495945311417764
RO,1997,8,1422.5,546.0954913879858,492.875,197.29921982323484,0.3838984122235401,0.4003027538893935
HU,2007,6,1107.3333333333333,302.9657846468255,318.1666666666667,114.64975650504745,0.2735994442927383,0.3603449654427892
NL,2005,12,234.08333333333334,132.6413197196473,163.0,109.90326324876469,0.5666414512765281,0.6742531487654275
SE,2013,8,1369.625,502.945591348749,1026.75,393.5692895975062,0.3672140851318784,0.3833155973679145
ES,2000,19,647.8947368421053,681.6042265401726,365.42105263157896,410.6926825890178,1.0520292692334101,1.1238889484648333
IE,2015,3,560.0,172.71074083565273,145.0,,0.3084120372065227,
NO,2012,3,708.0,238.90583919192935,228.33333333333334,222.43500923490737,0.3374376259773013,0.9741679236565286
PT,2004,5,567.2,365.98866102654057,271.8,191.70080855332873,0.6452550441229559,0.7053009880549254
PT,2009,5,568.4,356.28120915928196,292.2,187.8541987819277,0.6268142314554573,0.6428959575014638
RO,1996,8,1423.125,546.6190727684918,495.0,192.99074737258408,0.38409772350882165,0.3898802977223921
SE,2008,8,1377.75,532.3690315131843,983.25,410.690620436218,0.38640466812787827,0.4176868756025609
TR,2019,26,399.15384615384613,261.70023955781045,195.0,220.7748174045219,0.6556375244269678,1.13217855079242
SK,2021,4,906.5,450.2454885948331,396.25,188.2026832964929,0.49668559138977725,0.47495945311417764
TR,1993,26,324.2307692307692,212.30436786694855,43.095238095238095,90.37472255111201,0.6547940171459861,2.0970930094733173
DE,2022,9,1283.2222222222222,940.78727374707,,,0.7331444682417205,
EL,2005,13,198.15384615384616,190.2125329527676,6.3076923076923075,22.742708045234394,0.9599234970442463,3.6055512754639896
NO,2007,3,711.0,239.19239118333175,229.66666666666666,220.52966542697456,0.3364168652367535,0.960216250044882
SK,2017,4,906.5,450.20180660084725,397.0,188.34719712983963,0.4966374038619385,0.47442618924392854
FR,2013,27,1083.0740740740741,708.9147136469036,582.8518518518518,496.89557049465424,0.6545394545178811,0.8525246491298001
SE,1996,6,1369.3333333333333,609.8946357090433,935.3333333333334,429.89657670963913,0.44539530358498786,0.4596185780929855
SK,2019,4,907.25,450.8949434180871,396.75,188.75447014574252,0.4969908442194402,0.4757516575822118
ES,2018,19,836.4736842105264,822.717338284207,533.7368421052631,567.1526192897741,0.9835543589882295,1.062607214920196
IT,1990,19,767.3157894736842,518.1975226828279,,,0.6753380157057226,
NL,2018,12,253.5,150.29213975696558,185.33333333333334,131.12959123313738,0.5928684014081482,0.7075337656464247
SK,2009,4,905.75,451.1277535244313,394.25,189.77947728877325,0.4980709395798303,0.4813683634464762
ES,2001,19,647.8947368421053,681.6042265401726,365.42105263157896,410.6926825890178,1.0520292692334101,1.1238889484648333
PT,2006,5,568.0,357.28560004567777,287.2,187.14619953394725,0.6290239437423905,0.6516232574301785
TR,2008,26,334.5769230769231,222.05389851599958,74.15384615384616,102.97444044332256,0.6636856375923657,1.388659466559329
NL,2017,12,254.66666666666666,151.93559241476055,192.5,139.93927254348583,0.596605729377332,0.7269572599661601
CZ,2015,8,1195.75,535.2430022228889,402.125,163.29853249274996,0.44762116012786024,0.40608898350699396
EL,2000,13,200.0,195.4469237414598,6.846153846153846,24.6841587320227,0.9772346187072991,3.60555127546399
EL,2019,13,175.3846153846154,179.16079298660674,56.23076923076923,85.69826315446718,1.0215308372043366,1.5240457195732877
IT,2018,20,835.5,537.9335216215945,666.6111111111111,420.55315658824856,0.6438462257589402,0.6308823084080736
DE,2011,9,1213.2222222222222,899.682274163743,,,0.7415642886229222,
ES,2009,19,803.0,777.0782171413348,466.36842105263156,504.5001057731764,0.9677188258298067,1.0817630075262783
ES,2002,19,647.3157894736842,682.5047051226973,365.89473684210526,411.495901793666,1.054361281188003,1.1246291907479364
FR,2020,27,1047.2962962962963,678.4841030287137,618.2962962962963,515.4973561683165,0.6478435046778396,0.8337383860395678
IT,2008,20,823.6,521.0297900362925,616.6315789473684,415.3918110954358,0.632624805775003,0.6736466721417959
BG,2018,6,671.6666666666666,133.50455672622815,478.3333333333333,109.49824960549216,0.19876608941870197,0.22891620126583728
TR,2013,26,373.7692307692308,247.82821593875184,112.38461538461539,164.18795983215745,0.6630514112376567,1.4609469389582799
BE,1990,11,316.27272727272725,128.58078465236625,208.45454545454547,96.13882008467093,0.40655033951596115,0.4611980030228435
CZ,2007,8,1198.5,535.1160087842102,,,0.4464881174670089,
HU,2005,6,1116.0,287.7665720684041,318.1666666666667,114.64975650504745,0.2578553513157743,0.3603449654427892
RO,2011,8,1347.125,522.9215831679327,502.5,158.09581181766237,0.38817599195912234,0.31461853098042264
SE,2011,8,1400.875,537.2731248762456,1014.875,405.23659315092885,0.3835268135103029,0.3992970495390357
DE,2009,9,1200.111111111111,913.3183240859186,,,0.7610281378366139,
PT,2015,5,509.0,314.5727260904861,328.0,242.39224410034245,0.6180210728693244,0.7390007442083611
CZ,2005,8,1202.0,535.0986557902864,,,0.4451735905077258,
FR,1993,25,1301.16,725.046359437335,540.88,433.0004157041884,0.5572307475155515,0.8005480248931157
EL,2015,13,172.30769230769232,176.9111757424163,49.4,67.38809654201219,1.026716644933666,1.3641315089476154
IE,2017,3,560.0,172.71074083565273,145.0,,0.3084120372065227,
TR,1999,26,333.9230769230769,217.25264980237606,70.52,103.96198022995395,0.6506068757039597,1.4742197990634425
